Rank,Team,Games,W-L,Goals,Shots,Pct.,Date,Academic Year
2,Jacksonville (SoCon),17,14-3,273,716,0.381,05/30/2022-Final Statistics,2022.0
3,Duke (ACC),17,11-6,262,751,0.349,05/30/2022-Final Statistics,2022.0
4,Ohio St. (Big Ten),16,10-6,218,655,0.333,05/30/2022-Final Statistics,2022.0
5,Robert Morris (ASUN),16,10-6,207,625,0.331,05/30/2022-Final Statistics,2022.0
6,Virginia (ACC),16,12-4,248,749,0.331,05/30/2022-Final Statistics,2022.0
7,Notre Dame (ACC),12,8-4,177,538,0.329,05/30/2022-Final Statistics,2022.0
8,Saint Joseph's (NEC),18,14-4,252,777,0.324,05/30/2022-Final Statistics,2022.0
9,Richmond (SoCon),16,11-5,224,694,0.323,05/30/2022-Final Statistics,2022.0
10,Harvard (Ivy League),13,8-5,171,535,0.320,05/30/2022-Final Statistics,2022.0
11,Lafayette (Patriot),15,4-11,181,567,0.319,05/30/2022-Final Statistics,2022.0
12,Utah (ASUN),14,10-4,191,600,0.318,05/30/2022-Final Statistics,2022.0
13,Drexel (CAA),14,6-8,167,525,0.318,05/30/2022-Final Statistics,2022.0
14,Penn (Ivy League),16,11-5,205,645,0.318,05/30/2022-Final Statistics,2022.0
15,Princeton (Ivy League),16,11-5,237,747,0.317,05/30/2022-Final Statistics,2022.0
16,Delaware (CAA),19,13-6,255,807,0.316,05/30/2022-Final Statistics,2022.0
17,Yale (Ivy League),17,12-5,253,801,0.316,05/30/2022-Final Statistics,2022.0
18,LIU (NEC),15,7-8,167,530,0.315,05/30/2022-Final Statistics,2022.0
19,High Point (SoCon),15,7-8,201,642,0.313,05/30/2022-Final Statistics,2022.0
20,St. Bonaventure (MAAC),15,11-4,161,517,0.311,05/30/2022-Final Statistics,2022.0
21,Fairfield (CAA),14,7-7,193,621,0.311,05/30/2022-Final Statistics,2022.0
22,Georgetown (Big East),17,15-2,256,831,0.308,05/30/2022-Final Statistics,2022.0
23,Vermont (America East),19,12-7,251,815,0.308,05/30/2022-Final Statistics,2022.0
24,Rutgers (Big Ten),19,15-4,275,897,0.307,05/30/2022-Final Statistics,2022.0
25,Cornell (Ivy League),19,14-5,247,815,0.303,05/30/2022-Final Statistics,2022.0
26,Army West Point (Patriot),16,12-4,225,746,0.302,05/30/2022-Final Statistics,2022.0
27,Boston U. (Patriot),17,12-5,226,754,0.300,05/30/2022-Final Statistics,2022.0
28,Bellarmine (ASUN),17,4-13,180,601,0.300,05/30/2022-Final Statistics,2022.0
29,Denver (Big East),15,9-6,206,688,0.299,05/30/2022-Final Statistics,2022.0
30,Bucknell (Patriot),15,9-6,203,678,0.299,05/30/2022-Final Statistics,2022.0
31,Michigan (Big Ten),15,7-8,211,711,0.297,05/30/2022-Final Statistics,2022.0
32,Hofstra (CAA),15,6-9,150,510,0.294,05/30/2022-Final Statistics,2022.0
33,Penn St. (Big Ten),14,3-11,157,536,0.293,05/30/2022-Final Statistics,2022.0
34,UAlbany (America East),15,5-10,155,531,0.292,05/30/2022-Final Statistics,2022.0
35,UMBC (America East),13,6-7,138,473,0.292,05/30/2022-Final Statistics,2022.0
36,Stony Brook (America East),14,9-5,181,623,0.291,05/30/2022-Final Statistics,2022.0
37,Brown (Ivy League),16,10-6,211,730,0.289,05/30/2022-Final Statistics,2022.0
38,Sacred Heart (NEC),13,3-10,137,476,0.288,05/30/2022-Final Statistics,2022.0
39,Massachusetts (CAA),14,8-6,166,577,0.288,05/30/2022-Final Statistics,2022.0
40,Villanova (Big East),15,9-6,199,698,0.285,05/30/2022-Final Statistics,2022.0
41,Syracuse (ACC),14,4-10,187,661,0.283,05/30/2022-Final Statistics,2022.0
42,Mercer (SoCon),15,5-10,157,556,0.282,05/30/2022-Final Statistics,2022.0
43,Binghamton (America East),14,5-9,149,529,0.282,05/30/2022-Final Statistics,2022.0
44,Loyola Maryland (Patriot),16,8-8,187,669,0.280,05/30/2022-Final Statistics,2022.0
45,Hobart (NEC),13,7-6,183,658,0.278,05/30/2022-Final Statistics,2022.0
46,Lehigh (Patriot),15,8-7,171,617,0.277,05/30/2022-Final Statistics,2022.0
47,Towson (CAA),16,7-9,180,659,0.273,05/30/2022-Final Statistics,2022.0
48,Manhattan (MAAC),15,8-7,136,500,0.272,05/30/2022-Final Statistics,2022.0
49,Cleveland St. (ASUN),13,3-10,145,536,0.271,05/30/2022-Final Statistics,2022.0
50,Johns Hopkins (Big Ten),16,7-9,175,650,0.269,05/30/2022-Final Statistics,2022.0
51,Bryant (NEC),15,8-7,181,674,0.269,05/30/2022-Final Statistics,2022.0
52,Navy (Patriot),15,9-6,160,602,0.266,05/30/2022-Final Statistics,2022.0
53,St. John's (NY) (Big East),14,2-12,125,477,0.262,05/30/2022-Final Statistics,2022.0
54,Marquette (Big East),15,4-11,157,600,0.262,05/30/2022-Final Statistics,2022.0
55,Providence (Big East),14,6-8,155,594,0.261,05/30/2022-Final Statistics,2022.0
56,North Carolina (ACC),14,8-6,162,624,0.260,05/30/2022-Final Statistics,2022.0
57,Colgate (Patriot),13,4-9,125,492,0.254,05/30/2022-Final Statistics,2022.0
58,Air Force (ASUN),15,8-7,167,662,0.252,05/30/2022-Final Statistics,2022.0
59,Quinnipiac (MAAC),13,2-11,135,545,0.248,05/30/2022-Final Statistics,2022.0
60,Siena (MAAC),15,6-9,153,622,0.246,05/30/2022-Final Statistics,2022.0
61,Marist (MAAC),15,7-8,149,608,0.245,05/30/2022-Final Statistics,2022.0
62,Holy Cross (Patriot),14,1-13,120,490,0.245,05/30/2022-Final Statistics,2022.0
63,Canisius (MAAC),14,2-12,128,529,0.242,05/30/2022-Final Statistics,2022.0
64,VMI (SoCon),15,4-11,144,611,0.236,05/30/2022-Final Statistics,2022.0
65,UMass Lowell (America East),13,2-11,129,561,0.230,05/30/2022-Final Statistics,2022.0
66,Dartmouth (Ivy League),13,4-9,123,535,0.230,05/30/2022-Final Statistics,2022.0
67,Mount St. Mary's (NEC),15,5-10,135,608,0.222,05/30/2022-Final Statistics,2022.0
68,Hampton (SoCon),10,0-10,47,219,0.215,05/30/2022-Final Statistics,2022.0
69,Detroit Mercy (ASUN),11,2-9,84,407,0.206,05/30/2022-Final Statistics,2022.0
70,Monmouth (MAAC),12,5-7,88,430,0.205,05/30/2022-Final Statistics,2022.0
71,NJIT (America East),13,0-13,90,452,0.199,05/30/2022-Final Statistics,2022.0
72,Wagner (NEC),12,3-9,88,449,0.196,05/30/2022-Final Statistics,2022.0
-,Merrimack (NEC),12,6-6,116,455,0.255,05/30/2022-Final Statistics,2022.0
1,Saint Joseph's (NEC),1,0-1,16,45,0.356,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
2,Maryland (Big Ten),4,4-0,61,178,0.343,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
3,Virginia (ACC),2,1-1,26,81,0.321,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
4,Yale (Ivy League),2,1-1,28,88,0.318,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
5,Cornell (Ivy League),4,3-1,49,157,0.312,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
6,Delaware (CAA),3,2-1,38,126,0.302,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
7,Rutgers (Big Ten),3,2-1,40,139,0.288,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
8,Richmond (SoCon),1,0-1,10,35,0.286,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
9,Vermont (America East),2,1-1,20,72,0.278,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
10,Robert Morris (ASUN),1,0-1,8,30,0.267,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
11,Harvard (Ivy League),1,0-1,9,36,0.250,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
11,Ohio St. (Big Ten),1,0-1,8,32,0.250,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
11,Princeton (Ivy League),3,2-1,34,136,0.250,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
14,Penn (Ivy League),2,1-1,20,85,0.235,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
15,Brown (Ivy League),1,0-1,10,44,0.227,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
16,Georgetown (Big East),1,0-1,9,46,0.196,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
17,Boston U. (Patriot),1,0-1,5,30,0.167,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
18,Manhattan (MAAC),1,0-1,3,29,0.103,05/11/2022 - 05/30/2022-2022 NCAA DI MLA Championship,2022.0
1,Maryland (Big Ten),16,16-0,296,732,0.404,05/22/2022,2022.0
2,Jacksonville (SoCon),17,14-3,273,716,0.381,05/22/2022,2022.0
3,Duke (ACC),17,11-6,262,751,0.349,05/22/2022,2022.0
4,Ohio St. (Big Ten),16,10-6,218,655,0.333,05/22/2022,2022.0
5,Robert Morris (ASUN),16,10-6,207,625,0.331,05/22/2022,2022.0
6,Virginia (ACC),16,12-4,248,749,0.331,05/22/2022,2022.0
7,Notre Dame (ACC),12,8-4,177,538,0.329,05/22/2022,2022.0
8,Princeton (Ivy League),15,11-4,229,700,0.327,05/22/2022,2022.0
9,Saint Joseph's (NEC),18,14-4,252,777,0.324,05/22/2022,2022.0
10,Richmond (SoCon),16,11-5,224,694,0.323,05/22/2022,2022.0
11,Harvard (Ivy League),13,8-5,171,535,0.320,05/22/2022,2022.0
12,Lafayette (Patriot),15,4-11,181,567,0.319,05/22/2022,2022.0
13,Utah (ASUN),14,10-4,191,600,0.318,05/22/2022,2022.0
14,Drexel (CAA),14,6-8,167,525,0.318,05/22/2022,2022.0
15,Penn (Ivy League),16,11-5,205,645,0.318,05/22/2022,2022.0
16,Delaware (CAA),19,13-6,255,807,0.316,05/22/2022,2022.0
17,Yale (Ivy League),17,12-5,253,801,0.316,05/22/2022,2022.0
18,LIU (NEC),15,7-8,167,530,0.315,05/22/2022,2022.0
19,High Point (SoCon),15,7-8,201,642,0.313,05/22/2022,2022.0
20,St. Bonaventure (MAAC),15,11-4,161,517,0.311,05/22/2022,2022.0
21,Rutgers (Big Ten),18,15-3,265,852,0.311,05/22/2022,2022.0
22,Fairfield (CAA),14,7-7,193,621,0.311,05/22/2022,2022.0
23,Georgetown (Big East),17,15-2,256,831,0.308,05/22/2022,2022.0
24,Vermont (America East),19,12-7,251,815,0.308,05/22/2022,2022.0
25,Cornell (Ivy League),17,13-4,223,738,0.302,05/22/2022,2022.0
26,Army West Point (Patriot),16,12-4,225,746,0.302,05/22/2022,2022.0
27,Boston U. (Patriot),17,12-5,226,754,0.300,05/22/2022,2022.0
28,Bellarmine (ASUN),17,4-13,180,601,0.300,05/22/2022,2022.0
29,Denver (Big East),15,9-6,206,688,0.299,05/22/2022,2022.0
30,Bucknell (Patriot),15,9-6,203,678,0.299,05/22/2022,2022.0
31,Michigan (Big Ten),15,7-8,211,711,0.297,05/22/2022,2022.0
32,Hofstra (CAA),15,6-9,150,510,0.294,05/22/2022,2022.0
33,Penn St. (Big Ten),14,3-11,157,536,0.293,05/22/2022,2022.0
34,UAlbany (America East),15,5-10,155,531,0.292,05/22/2022,2022.0
35,UMBC (America East),13,6-7,138,473,0.292,05/22/2022,2022.0
36,Stony Brook (America East),14,9-5,181,623,0.291,05/22/2022,2022.0
37,Brown (Ivy League),16,10-6,211,730,0.289,05/22/2022,2022.0
38,Sacred Heart (NEC),13,3-10,137,476,0.288,05/22/2022,2022.0
39,Massachusetts (CAA),14,8-6,166,577,0.288,05/22/2022,2022.0
40,Villanova (Big East),15,9-6,199,698,0.285,05/22/2022,2022.0
41,Syracuse (ACC),14,4-10,187,661,0.283,05/22/2022,2022.0
42,Mercer (SoCon),15,5-10,157,556,0.282,05/22/2022,2022.0
43,Binghamton (America East),14,5-9,149,529,0.282,05/22/2022,2022.0
44,Loyola Maryland (Patriot),16,8-8,187,669,0.280,05/22/2022,2022.0
45,Hobart (NEC),13,7-6,183,658,0.278,05/22/2022,2022.0
46,Lehigh (Patriot),15,8-7,171,617,0.277,05/22/2022,2022.0
47,Towson (CAA),16,7-9,180,659,0.273,05/22/2022,2022.0
48,Manhattan (MAAC),15,8-7,136,500,0.272,05/22/2022,2022.0
49,Cleveland St. (ASUN),13,3-10,145,536,0.271,05/22/2022,2022.0
50,Johns Hopkins (Big Ten),16,7-9,175,650,0.269,05/22/2022,2022.0
51,Bryant (NEC),15,8-7,181,674,0.269,05/22/2022,2022.0
52,Navy (Patriot),15,9-6,160,602,0.266,05/22/2022,2022.0
53,St. John's (NY) (Big East),14,2-12,125,477,0.262,05/22/2022,2022.0
54,Marquette (Big East),15,4-11,157,600,0.262,05/22/2022,2022.0
55,Providence (Big East),14,6-8,155,594,0.261,05/22/2022,2022.0
56,North Carolina (ACC),14,8-6,162,624,0.260,05/22/2022,2022.0
57,Colgate (Patriot),13,4-9,125,492,0.254,05/22/2022,2022.0
58,Air Force (ASUN),15,8-7,167,662,0.252,05/22/2022,2022.0
59,Quinnipiac (MAAC),13,2-11,135,545,0.248,05/22/2022,2022.0
60,Siena (MAAC),15,6-9,153,622,0.246,05/22/2022,2022.0
61,Marist (MAAC),15,7-8,149,608,0.245,05/22/2022,2022.0
62,Holy Cross (Patriot),14,1-13,120,490,0.245,05/22/2022,2022.0
63,Canisius (MAAC),14,2-12,128,529,0.242,05/22/2022,2022.0
64,VMI (SoCon),15,4-11,144,611,0.236,05/22/2022,2022.0
65,UMass Lowell (America East),13,2-11,129,561,0.230,05/22/2022,2022.0
66,Dartmouth (Ivy League),13,4-9,123,535,0.230,05/22/2022,2022.0
67,Mount St. Mary's (NEC),15,5-10,135,608,0.222,05/22/2022,2022.0
68,Hampton (SoCon),10,0-10,47,219,0.215,05/22/2022,2022.0
69,Detroit Mercy (ASUN),11,2-9,84,407,0.206,05/22/2022,2022.0
70,Monmouth (MAAC),12,5-7,88,430,0.205,05/22/2022,2022.0
71,NJIT (America East),13,0-13,90,452,0.199,05/22/2022,2022.0
72,Wagner (NEC),12,3-9,88,449,0.196,05/22/2022,2022.0
-,Merrimack (NEC),12,6-6,116,455,0.255,05/22/2022,2022.0
1,Maryland (Big Ten),15,15-0,278,682,0.408,05/21/2022,2022.0
2,Jacksonville (SoCon),17,14-3,273,716,0.381,05/21/2022,2022.0
3,Duke (ACC),17,11-6,262,751,0.349,05/21/2022,2022.0
4,Virginia (ACC),15,12-3,239,714,0.335,05/21/2022,2022.0
5,Ohio St. (Big Ten),16,10-6,218,655,0.333,05/21/2022,2022.0
6,Robert Morris (ASUN),16,10-6,207,625,0.331,05/21/2022,2022.0
7,Notre Dame (ACC),12,8-4,177,538,0.329,05/21/2022,2022.0
8,Princeton (Ivy League),15,11-4,229,700,0.327,05/21/2022,2022.0
9,Saint Joseph's (NEC),18,14-4,252,777,0.324,05/21/2022,2022.0
10,Richmond (SoCon),16,11-5,224,694,0.323,05/21/2022,2022.0
11,Delaware (CAA),18,13-5,247,768,0.322,05/21/2022,2022.0
12,Harvard (Ivy League),13,8-5,171,535,0.320,05/21/2022,2022.0
13,Lafayette (Patriot),15,4-11,181,567,0.319,05/21/2022,2022.0
14,Utah (ASUN),14,10-4,191,600,0.318,05/21/2022,2022.0
15,Drexel (CAA),14,6-8,167,525,0.318,05/21/2022,2022.0
16,Penn (Ivy League),16,11-5,205,645,0.318,05/21/2022,2022.0
17,Yale (Ivy League),17,12-5,253,801,0.316,05/21/2022,2022.0
18,LIU (NEC),15,7-8,167,530,0.315,05/21/2022,2022.0
19,High Point (SoCon),15,7-8,201,642,0.313,05/21/2022,2022.0
20,St. Bonaventure (MAAC),15,11-4,161,517,0.311,05/21/2022,2022.0
21,Rutgers (Big Ten),18,15-3,265,852,0.311,05/21/2022,2022.0
22,Fairfield (CAA),14,7-7,193,621,0.311,05/21/2022,2022.0
23,Georgetown (Big East),17,15-2,256,831,0.308,05/21/2022,2022.0
24,Vermont (America East),19,12-7,251,815,0.308,05/21/2022,2022.0
25,Cornell (Ivy League),16,12-4,213,701,0.304,05/21/2022,2022.0
26,Army West Point (Patriot),16,12-4,225,746,0.302,05/21/2022,2022.0
27,Boston U. (Patriot),17,12-5,226,754,0.300,05/21/2022,2022.0
28,Bellarmine (ASUN),17,4-13,180,601,0.300,05/21/2022,2022.0
29,Denver (Big East),15,9-6,206,688,0.299,05/21/2022,2022.0
30,Bucknell (Patriot),15,9-6,203,678,0.299,05/21/2022,2022.0
31,Michigan (Big Ten),15,7-8,211,711,0.297,05/21/2022,2022.0
32,Hofstra (CAA),15,6-9,150,510,0.294,05/21/2022,2022.0
33,Penn St. (Big Ten),14,3-11,157,536,0.293,05/21/2022,2022.0
34,UAlbany (America East),15,5-10,155,531,0.292,05/21/2022,2022.0
35,UMBC (America East),13,6-7,138,473,0.292,05/21/2022,2022.0
36,Stony Brook (America East),14,9-5,181,623,0.291,05/21/2022,2022.0
37,Brown (Ivy League),16,10-6,211,730,0.289,05/21/2022,2022.0
38,Sacred Heart (NEC),13,3-10,137,476,0.288,05/21/2022,2022.0
39,Massachusetts (CAA),14,8-6,166,577,0.288,05/21/2022,2022.0
40,Villanova (Big East),15,9-6,199,698,0.285,05/21/2022,2022.0
41,Syracuse (ACC),14,4-10,187,661,0.283,05/21/2022,2022.0
42,Mercer (SoCon),15,5-10,157,556,0.282,05/21/2022,2022.0
43,Binghamton (America East),14,5-9,149,529,0.282,05/21/2022,2022.0
44,Loyola Maryland (Patriot),16,8-8,187,669,0.280,05/21/2022,2022.0
45,Hobart (NEC),13,7-6,183,658,0.278,05/21/2022,2022.0
46,Lehigh (Patriot),15,8-7,171,617,0.277,05/21/2022,2022.0
47,Towson (CAA),16,7-9,180,659,0.273,05/21/2022,2022.0
48,Manhattan (MAAC),15,8-7,136,500,0.272,05/21/2022,2022.0
49,Cleveland St. (ASUN),13,3-10,145,536,0.271,05/21/2022,2022.0
50,Johns Hopkins (Big Ten),16,7-9,175,650,0.269,05/21/2022,2022.0
51,Bryant (NEC),15,8-7,181,674,0.269,05/21/2022,2022.0
52,Navy (Patriot),15,9-6,160,602,0.266,05/21/2022,2022.0
53,St. John's (NY) (Big East),14,2-12,125,477,0.262,05/21/2022,2022.0
54,Marquette (Big East),15,4-11,157,600,0.262,05/21/2022,2022.0
55,Providence (Big East),14,6-8,155,594,0.261,05/21/2022,2022.0
56,North Carolina (ACC),14,8-6,162,624,0.260,05/21/2022,2022.0
57,Colgate (Patriot),13,4-9,125,492,0.254,05/21/2022,2022.0
58,Air Force (ASUN),15,8-7,167,662,0.252,05/21/2022,2022.0
59,Quinnipiac (MAAC),13,2-11,135,545,0.248,05/21/2022,2022.0
60,Siena (MAAC),15,6-9,153,622,0.246,05/21/2022,2022.0
61,Marist (MAAC),15,7-8,149,608,0.245,05/21/2022,2022.0
62,Holy Cross (Patriot),14,1-13,120,490,0.245,05/21/2022,2022.0
63,Canisius (MAAC),14,2-12,128,529,0.242,05/21/2022,2022.0
64,VMI (SoCon),15,4-11,144,611,0.236,05/21/2022,2022.0
65,UMass Lowell (America East),13,2-11,129,561,0.230,05/21/2022,2022.0
66,Dartmouth (Ivy League),13,4-9,123,535,0.230,05/21/2022,2022.0
67,Mount St. Mary's (NEC),15,5-10,135,608,0.222,05/21/2022,2022.0
68,Hampton (SoCon),10,0-10,47,219,0.215,05/21/2022,2022.0
69,Detroit Mercy (ASUN),11,2-9,84,407,0.206,05/21/2022,2022.0
70,Monmouth (MAAC),12,5-7,88,430,0.205,05/21/2022,2022.0
71,NJIT (America East),13,0-13,90,452,0.199,05/21/2022,2022.0
72,Wagner (NEC),12,3-9,88,449,0.196,05/21/2022,2022.0
-,Merrimack (NEC),12,6-6,116,455,0.255,05/21/2022,2022.0
1,Maryland (Big Ten),15,15-0,278,682,0.408,05/15/2022,2022.0
2,Jacksonville (SoCon),17,14-3,273,716,0.381,05/15/2022,2022.0
3,Duke (ACC),17,11-6,262,751,0.349,05/15/2022,2022.0
4,Virginia (ACC),15,12-3,239,714,0.335,05/15/2022,2022.0
5,Ohio St. (Big Ten),16,10-6,218,655,0.333,05/15/2022,2022.0
6,Robert Morris (ASUN),16,10-6,207,625,0.331,05/15/2022,2022.0
7,Notre Dame (ACC),12,8-4,177,538,0.329,05/15/2022,2022.0
8,Princeton (Ivy League),14,10-4,215,654,0.329,05/15/2022,2022.0
9,Penn (Ivy League),15,11-4,196,599,0.327,05/15/2022,2022.0
10,Saint Joseph's (NEC),18,14-4,252,777,0.324,05/15/2022,2022.0
11,Richmond (SoCon),16,11-5,224,694,0.323,05/15/2022,2022.0
12,Yale (Ivy League),16,12-4,243,755,0.322,05/15/2022,2022.0
13,Delaware (CAA),18,13-5,247,768,0.322,05/15/2022,2022.0
14,Harvard (Ivy League),13,8-5,171,535,0.320,05/15/2022,2022.0
15,Lafayette (Patriot),15,4-11,181,567,0.319,05/15/2022,2022.0
16,Utah (ASUN),14,10-4,191,600,0.318,05/15/2022,2022.0
17,Drexel (CAA),14,6-8,167,525,0.318,05/15/2022,2022.0
18,Rutgers (Big Ten),17,14-3,254,805,0.316,05/15/2022,2022.0
19,LIU (NEC),15,7-8,167,530,0.315,05/15/2022,2022.0
20,High Point (SoCon),15,7-8,201,642,0.313,05/15/2022,2022.0
21,St. Bonaventure (MAAC),15,11-4,161,517,0.311,05/15/2022,2022.0
22,Fairfield (CAA),14,7-7,193,621,0.311,05/15/2022,2022.0
23,Georgetown (Big East),17,15-2,256,831,0.308,05/15/2022,2022.0
24,Vermont (America East),19,12-7,251,815,0.308,05/15/2022,2022.0
25,Cornell (Ivy League),16,12-4,213,701,0.304,05/15/2022,2022.0
26,Army West Point (Patriot),16,12-4,225,746,0.302,05/15/2022,2022.0
27,Boston U. (Patriot),17,12-5,226,754,0.300,05/15/2022,2022.0
28,Bellarmine (ASUN),17,4-13,180,601,0.300,05/15/2022,2022.0
29,Denver (Big East),15,9-6,206,688,0.299,05/15/2022,2022.0
30,Bucknell (Patriot),15,9-6,203,678,0.299,05/15/2022,2022.0
31,Michigan (Big Ten),15,7-8,211,711,0.297,05/15/2022,2022.0
32,Hofstra (CAA),15,6-9,150,510,0.294,05/15/2022,2022.0
33,Penn St. (Big Ten),14,3-11,157,536,0.293,05/15/2022,2022.0
34,UAlbany (America East),15,5-10,155,531,0.292,05/15/2022,2022.0
35,UMBC (America East),13,6-7,138,473,0.292,05/15/2022,2022.0
36,Stony Brook (America East),14,9-5,181,623,0.291,05/15/2022,2022.0
37,Brown (Ivy League),16,10-6,211,730,0.289,05/15/2022,2022.0
38,Sacred Heart (NEC),13,3-10,137,476,0.288,05/15/2022,2022.0
39,Massachusetts (CAA),14,8-6,166,577,0.288,05/15/2022,2022.0
40,Villanova (Big East),15,9-6,199,698,0.285,05/15/2022,2022.0
41,Syracuse (ACC),14,4-10,187,661,0.283,05/15/2022,2022.0
42,Mercer (SoCon),15,5-10,157,556,0.282,05/15/2022,2022.0
43,Binghamton (America East),14,5-9,149,529,0.282,05/15/2022,2022.0
44,Loyola Maryland (Patriot),16,8-8,187,669,0.280,05/15/2022,2022.0
45,Hobart (NEC),13,7-6,183,657,0.279,05/15/2022,2022.0
46,Lehigh (Patriot),15,8-7,171,617,0.277,05/15/2022,2022.0
47,Towson (CAA),16,7-9,180,659,0.273,05/15/2022,2022.0
48,Manhattan (MAAC),15,8-7,136,500,0.272,05/15/2022,2022.0
49,Cleveland St. (ASUN),13,3-10,145,536,0.271,05/15/2022,2022.0
50,Johns Hopkins (Big Ten),16,7-9,175,650,0.269,05/15/2022,2022.0
51,Bryant (NEC),15,8-7,181,675,0.268,05/15/2022,2022.0
52,Navy (Patriot),15,9-6,160,602,0.266,05/15/2022,2022.0
53,St. John's (NY) (Big East),14,2-12,125,477,0.262,05/15/2022,2022.0
54,Marquette (Big East),15,4-11,157,600,0.262,05/15/2022,2022.0
55,Providence (Big East),14,6-8,155,594,0.261,05/15/2022,2022.0
56,North Carolina (ACC),14,8-6,162,624,0.260,05/15/2022,2022.0
57,Colgate (Patriot),13,4-9,125,492,0.254,05/15/2022,2022.0
58,Air Force (ASUN),15,8-7,167,662,0.252,05/15/2022,2022.0
59,Quinnipiac (MAAC),13,2-11,135,545,0.248,05/15/2022,2022.0
60,Siena (MAAC),15,6-9,153,622,0.246,05/15/2022,2022.0
61,Marist (MAAC),15,7-8,149,608,0.245,05/15/2022,2022.0
62,Holy Cross (Patriot),14,1-13,120,490,0.245,05/15/2022,2022.0
63,Canisius (MAAC),14,2-12,128,529,0.242,05/15/2022,2022.0
64,VMI (SoCon),15,4-11,144,611,0.236,05/15/2022,2022.0
65,UMass Lowell (America East),13,2-11,129,561,0.230,05/15/2022,2022.0
66,Dartmouth (Ivy League),13,4-9,123,535,0.230,05/15/2022,2022.0
67,Mount St. Mary's (NEC),15,5-10,135,608,0.222,05/15/2022,2022.0
68,Hampton (SoCon),10,0-10,47,219,0.215,05/15/2022,2022.0
69,Detroit Mercy (ASUN),11,2-9,84,407,0.206,05/15/2022,2022.0
70,Monmouth (MAAC),12,5-7,88,430,0.205,05/15/2022,2022.0
71,NJIT (America East),13,0-13,90,452,0.199,05/15/2022,2022.0
72,Wagner (NEC),12,3-9,88,449,0.196,05/15/2022,2022.0
-,Merrimack (NEC),12,6-6,116,455,0.255,05/15/2022,2022.0
1,Maryland (Big Ten),14,14-0,257,636,0.404,05/11/2022,2022.0
2,Jacksonville (SoCon),17,14-3,273,716,0.381,05/11/2022,2022.0
3,Duke (ACC),17,11-6,262,751,0.349,05/11/2022,2022.0
4,Ohio St. (Big Ten),15,10-5,210,623,0.337,05/11/2022,2022.0
5,Virginia (ACC),14,11-3,222,668,0.332,05/11/2022,2022.0
6,Princeton (Ivy League),13,9-4,203,611,0.332,05/11/2022,2022.0
7,Robert Morris (ASUN),16,10-6,207,625,0.331,05/11/2022,2022.0
8,Penn (Ivy League),14,10-4,185,560,0.330,05/11/2022,2022.0
9,Notre Dame (ACC),12,8-4,177,538,0.329,05/11/2022,2022.0
10,Richmond (SoCon),15,11-4,214,659,0.325,05/11/2022,2022.0
11,Harvard (Ivy League),12,8-4,162,499,0.325,05/11/2022,2022.0
12,Delaware (CAA),17,12-5,237,732,0.324,05/11/2022,2022.0
13,Saint Joseph's (NEC),17,14-3,236,732,0.322,05/11/2022,2022.0
14,Lafayette (Patriot),15,4-11,181,567,0.319,05/11/2022,2022.0
15,Utah (ASUN),14,10-4,191,600,0.318,05/11/2022,2022.0
16,Drexel (CAA),14,6-8,167,525,0.318,05/11/2022,2022.0
17,Vermont (America East),18,12-6,246,778,0.316,05/11/2022,2022.0
18,Yale (Ivy League),15,11-4,225,713,0.316,05/11/2022,2022.0
19,LIU (NEC),15,7-8,167,530,0.315,05/11/2022,2022.0
20,Georgetown (Big East),16,15-1,247,785,0.315,05/11/2022,2022.0
21,High Point (SoCon),15,7-8,201,642,0.313,05/11/2022,2022.0
22,St. Bonaventure (MAAC),15,11-4,161,517,0.311,05/11/2022,2022.0
23,Fairfield (CAA),14,7-7,193,621,0.311,05/11/2022,2022.0
24,Rutgers (Big Ten),16,13-3,235,758,0.310,05/11/2022,2022.0
25,Boston U. (Patriot),16,12-4,221,724,0.305,05/11/2022,2022.0
26,Army West Point (Patriot),16,12-4,225,746,0.302,05/11/2022,2022.0
27,Cornell (Ivy League),15,11-4,198,658,0.301,05/11/2022,2022.0
28,Bellarmine (ASUN),17,4-13,180,601,0.300,05/11/2022,2022.0
